record_no,event_id,continent,country,location,event_name,event_date,event_year,event_summary,cause,impact,source_url,latitude,longitude,coordinate_meaning,coordinate_precision,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,source_grade,verification_status,status_group,source_location_notes,source_dataset,collection_path,supplementary_url,primary_source_count,source_url_access_status,supplementary_url_access_status,retrieval_date,event_group_id,independent_event_count,heatwave_evidence,cause_completeness,population_count_2020,population_density_2020_per_km2,heatwave_days_7d,heatwave_max_t2m_c,heatwave_p90_t2m_c,heatwave_degree_days_c,heatwave_score_0_100,gee_enrichment_status
44,HRF-0044,亚洲,Azerbaijan,Baku,Trump International Hotel and Tower (Baku) fire,2018-04-30,2018,Trump International Hotel and Tower (Baku)高层建筑火灾；建筑高度记录为 108.9 m。死亡人数：0。Involved two separate fires the same day,未检索到/待核实,死亡人数：0。Involved two separate fires the same day,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,40.37767,49.89201,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,hotel,108.9 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
45,HRF-0045,亚洲,United Arab Emirates,Dubai,Almas Tower fire,2018-04-30,2018,Almas Tower高层建筑火灾；建筑高度记录为 360 m。死亡人数：0。,未检索到/待核实,死亡人数：0。,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,360 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
46,HRF-0046,亚洲,United Arab Emirates,Dubai,Zen Tower fire,2018-05-15,2018,Zen Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 15。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 15。,https://www.khaleejtimes.com/nation/dubai/15-floors-gutted-in-Dubai-Marina-fire-,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,15,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,HTTP错误(404),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
47,HRF-0047,亚洲,Iran,Tehran,Paramis Building fire,2018-07-22,2018,Paramis Building高层建筑火灾；建筑高度记录为 69.3 m。死亡人数：0。21-storey residential building,未检索到/待核实,死亡人数：0。21-storey residential building,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,35.69439,51.42151,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,69.3 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
48,HRF-0048,亚洲,China,Kaifeng,Kaifeng Apartments[citation needed] fire,2019-03-14,2019,Kaifeng Apartments[citation needed]高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 17。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 17。,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,34.7986,114.30742,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,未检索到,17,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
49,HRF-0049,亚洲,Bangladesh,Dhaka,FR Tower fire,2019-03-28,2019,FR Tower高层建筑火灾；建筑高度记录为 未列明。死亡人数：25。FR Tower fire,未检索到/待核实,死亡人数：25。FR Tower fire,https://en.wikipedia.org/wiki/FR_Tower_fire,23.7104,90.40744,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,25,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
50,HRF-0050,亚洲,China,Nanjing,Golden Eagle Shopping Mall fire,2019-05-27,2019,Golden Eagle Shopping Mall高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://www.chinadaily.com.cn/a/201905/25/WS5ce816f5a3104842260bdb05.html,32.06167,118.77778,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,commercial/retail,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
51,HRF-0051,亚洲,China,Luoyang,Commercial Building fire,2019-05-29,2019,Commercial Building高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://news.sina.com.cn/o/2019-05-29/doc-ihvhiqay2320153.shtml,34.67345,112.43684,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
52,HRF-0052,亚洲,United Arab Emirates,Sharjah,Abbco Tower fire,2020-05-05,2020,"Abbco Tower高层建筑火灾；建筑高度记录为 190 m。死亡人数：1。25 injuries, likely started by a discarded cigarette or shisha coals","25 injuries, likely started by a discarded cigarette or shisha coals","死亡人数：1。25 injuries, likely started by a discarded cigarette or shisha coals",https://gulfnews.com/uae/sharjah-fire-probable-cause-found-150-buildings-to-have-cladding-changed-1.71423621,25.3342,55.41221,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,190 m,48,未检索到,1,12,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires | https://www.bbc.com/news/world-middle-east-52553429,3,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200) | https://www.bbc.com/news/world-middle-east-52553429 => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
53,HRF-0053,亚洲,Turkey,Ankara,Business Centre fire,2020-07-27,2020,Business Centre高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://www.dailysabah.com/turkey/fire-breaks-out-in-business-center-in-turkish-capital-ankara/news,39.91987,32.85427,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
54,HRF-0054,亚洲,South Korea,Ulsan,Apartment Block fire,2020-10-08,2020,Apartment Block高层建筑外立面火灾。死亡 0，受伤 91；表中记录的受影响楼层为 33。,未检索到/待核实,死亡 0，受伤 91；表中记录的受影响楼层为 33。,https://www.bbc.com/news/world-asia-54470378,35.53722,129.31667,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,未检索到,33,未检索到,0,91,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
55,HRF-0055,亚洲,South Korea,South Korea,Ulsan Samhwan Art Nouveau Fire,2020-10-09,2020,Ulsan Samhwan Art Nouveau apartment building高层建筑火灾；建筑高度记录为 108.9 m。死亡人数：0。92 residents and 1 firefighter injured. Ulsan Samhwan Art Nouveau Fire [ko],未检索到/待核实,死亡人数：0。92 residents and 1 firefighter injured. Ulsan Samhwan Art Nouveau Fire [ko],https://en.wikipedia.org/wiki/Ulsan_Samhwan_Art_Nouveau_Fire?action=edit&redlink=1,36.5,127.75,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,108.9 m,未检索到,未检索到,0,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,HTTP错误(404),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
56,HRF-0056,亚洲,China,Shijiazhuang,Apartment Building[citation needed] fire,2021-03-09,2021,Apartment Building[citation needed]高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 26。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 26。,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,38.04139,114.47861,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,未检索到,26,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
57,HRF-0057,亚洲,Taiwan,Kaohsiung,2021 Kaohsiung Cheng Chung Cheng Building fire,2021-10-14,2021,Cheng Chung Cheng Building高层建筑火灾；建筑高度记录为 未列明。死亡人数：46。2021 Kaohsiung tower fire,未检索到/待核实,死亡人数：46。2021 Kaohsiung tower fire,https://en.wikipedia.org/wiki/2021_Kaohsiung_tower_fire,22.61626,120.31333,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,46,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
58,HRF-0058,亚洲,Hong Kong,Hong Kong,World Trade Centre Hong Kong fire,2021-12-15,2021,"World Trade Centre Hong Kong高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。13 injured, over 300 trapped on roof",未检索到/待核实,"死亡人数：0。13 injured, over 300 trapped on roof",https://www.bbc.co.uk/news/world-asia-china-59663826,22.27832,114.17469,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,office/government,未检索到,未检索到,未检索到,0,13,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
59,HRF-0059,亚洲,China,"Changsha, Hunan",Lotus Garden China Telecom Building fire,2022-09-16,2022,Lotus Garden China Telecom Building高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 42。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 42。,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,28.19874,112.97087,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,office/government,218 m,42,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
60,HRF-0060,亚洲,Pakistan,Islamabad,2022 The Centaurus Mall Fire Incident,2022-10-09,2022,The Centaurus高层建筑火灾；建筑高度记录为 110 m。死亡人数：0。2022 The Centaurus Mall Fire Incident,未检索到/待核实,死亡人数：0。2022 The Centaurus Mall Fire Incident,https://en.wikipedia.org/wiki/2022_The_Centaurus_Mall_Fire_Incident,33.72148,73.04329,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,commercial/retail,110 m,未检索到,未检索到,0,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
61,HRF-0061,亚洲,Turkey,İstanbul,Elite Concept fire,2022-10-15,2022,Elite Concept高层建筑火灾；建筑高度记录为 80 m。死亡人数：0。Originated from external cladding.,Originated from external cladding.,死亡人数：0。Originated from external cladding.,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,41.01384,28.94966,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑火灾,未检索到,80 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
62,HRF-0062,亚洲,United Arab Emirates,Dubai,2022 8 Boulevard Walk high-rise fire,2022-11-07,2022,8 Boulevard Walk高层建筑火灾；建筑高度记录为 123 m。死亡人数：0。,未检索到/待核实,死亡人数：0。,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,123 m,35,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires | https://www.arabianbusiness.com/culture-society/emaar-tower-fire-no-injuries-or-casualties-occurred-residents-hope-to-return-to-homes-soon,3,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200) | https://www.arabianbusiness.com/culture-society/emaar-tower-fire-no-injuries-or-casualties-occurred-residents-hope-to-return-to-homes-soon => HTTP错误(405),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
63,HRF-0063,亚洲,China,Ürümqi,2022 Ürümqi Jixiangyuan high-rise fire,2022-11-26,2022,Jixiangyuan community高层建筑火灾；建筑高度记录为 ~60 m (21 floors) m。死亡人数：11。2022 Ürümqi fire,未检索到/待核实,死亡人数：11。2022 Ürümqi fire,https://en.wikipedia.org/wiki/2022_Ürümqi_fire,43.80096,87.60046,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,~60 m (21 floors),未检索到,未检索到,11,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
64,HRF-0064,亚洲,Hong Kong,Hong Kong,2023 Kimpton Hotel construction high-rise fire,2023-03-02,2023,The Kimpton高层建筑火灾；建筑高度记录为 175 m。死亡人数：0。Occurred during construction,未检索到/待核实,死亡人数：0。Occurred during construction,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,22.27832,114.17469,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,hotel,175 m,48,未检索到,0,2,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires | https://www.scmp.com/news/hong-kong/society/article/3212594/fire-pump-not-working-order-when-massive-blaze-engulfed-hong-kong-skyscraper-authorities-reveal,3,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200) | https://www.scmp.com/news/hong-kong/society/article/3212594/fire-pump-not-working-order-when-massive-blaze-engulfed-hong-kong-skyscraper-authorities-reveal => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
65,HRF-0065,亚洲,Vietnam,Hanoi,2023 Hanoi high-rise apartment fire,2023-09-12,2023,Unnamed Apartment Block高层建筑火灾；建筑高度记录为 未列明。死亡人数：56。2023 Hanoi building fire,未检索到/待核实,死亡人数：56。2023 Hanoi building fire,https://en.wikipedia.org/wiki/2023_Hanoi_building_fire,21.0245,105.84117,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,未检索到,未检索到,未检索到,56,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
66,HRF-0066,亚洲,China,Hong Kong,"The Kimpton Hotel, formerly the Mariner's Club (Tsim Sha Tsui) fire",2023-09-21,2023,"The Kimpton Hotel, formerly the Mariner's Club (Tsim Sha Tsui)高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 48。",未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 48。,https://www.weekendhk.com/weekspecial/%e5%b0%96%e6%b2%99%e5%92%80%e5%a4%a7%e7%81%ab-%e6%b5%b7%e5%93%a1%e4%b9%8b%e5%ae%b6-%e7%81%ab%e8%ad%a6-ctb084-by-1477491/?utm_campaign=WW_Sharing&utm_medium=Message_WW&utm_source=Copy_link,,,未提供坐标,unspecified,高层建筑外立面火灾,hotel,未检索到,48,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,invalid_coordinate_or_date
67,HRF-0067,亚洲,China,Nanjing,2024 Nanjing Yuhuatai high-rise fire,2024-02-23,2024,Unnamed Highrise高层建筑火灾；建筑高度记录为 未列明。死亡人数：15。2024 Nanjing building fire,未检索到/待核实,死亡人数：15。2024 Nanjing building fire,https://en.wikipedia.org/wiki/2024_Nanjing_building_fire,32.06167,118.77778,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,15,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
68,HRF-0068,亚洲,Bangladesh,Dhaka,2024 Dhaka Bailey Road high-rise fire,2024-02-29,2024,Green Cozy Cottage Shopping Mall高层建筑火灾；建筑高度记录为 未列明。死亡人数：46。2024 Dhaka Bailey Road fire,未检索到/待核实,死亡人数：46。2024 Dhaka Bailey Road fire,https://en.wikipedia.org/wiki/2024_Dhaka_Bailey_Road_fire,23.7104,90.40744,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,commercial/retail,未检索到,未检索到,未检索到,46,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
69,HRF-0069,亚洲,United Arab Emirates,未检索到,"4 April – A fire at a 39-story residential apartment building in Sharjah, United Arab Emirates, killed five people and i",2024-04-04,2024,"4 April – A fire at a 39-story residential apartment building in Sharjah, United Arab Emirates, killed five people and injured 44 others.",未检索到/待核实,"4 April – A fire at a 39-story residential apartment building in Sharjah, United Arab Emirates, killed five people and injured 44 others.",https://english.alarabiya.net/News/gulf/2024/04/06/sharjah-building-fire-leaves-5-dead-dozens-hospitalized,,,未提供坐标,unspecified,建筑/结构火灾,未检索到,39-story,未检索到,未检索到,,,,C,candidate_needs_highrise_confirmation,候选待核实,候选：Wikipedia列表条目；需确认高层属性及独立来源,List of building or structure fires,Wikipedia专题列表,,1,受限(403),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,invalid_coordinate_or_date
70,HRF-0070,亚洲,Turkey,Bolu,2025 Kartalkaya hotel fire,2025-01-21,2025,Grand Kartal Hotel高层建筑火灾；建筑高度记录为 43.50 m。死亡人数：79。2025 Kartalkaya hotel fire,未检索到/待核实,死亡人数：79。2025 Kartalkaya hotel fire,https://en.wikipedia.org/wiki/2025_Kartalkaya_hotel_fire,40.73583,31.60611,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑火灾,hotel,43.50 m,未检索到,未检索到,79,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
